rank,config_id,hidden_dim,num_layers,dropout,aggregator,auprc,roc_auc,precision,recall,f1,best_epoch
1,h32_L2_d0.3_mean_f15-10,32,2,0.3,mean,0.6412738366457518,0.9142116046467033,0.4438202247191011,0.7821782178217822,0.5663082437275986,7
2,h128_L2_d0.3_mean_f15-10,128,2,0.3,mean,0.6390499030486129,0.9066168084698379,0.3688888888888889,0.8217821782178217,0.50920245398773,2
3,h64_L2_d0.3_mean_f15-10,64,2,0.3,mean,0.6369480957815228,0.9126674135303438,0.42408376963350786,0.801980198019802,0.5547945205479452,4
4,h64_L3_d0.3_mean_f15-10-5,64,3,0.3,mean,0.6347332365959524,0.9060566607119428,0.3915094339622642,0.8217821782178217,0.5303514376996805,3
5,h128_L3_d0.3_mean_f15-10-5,128,3,0.3,mean,0.6303310311444766,0.8949142620684086,0.41621621621621624,0.7623762376237624,0.5384615384615384,15
6,h32_L2_d0.3_max_f15-10,32,2,0.3,max,0.6159847619796617,0.9057135071305294,0.47468354430379744,0.7425742574257426,0.5791505791505791,5
7,h32_L3_d0.3_mean_f15-10-5,32,3,0.3,mean,0.6044350599884025,0.8938040593050129,0.48427672955974843,0.7623762376237624,0.5923076923076923,19
8,h64_L2_d0.3_max_f15-10,64,2,0.3,max,0.6009578022181237,0.9056327651113735,0.48,0.7128712871287128,0.5737051792828686,4
9,h128_L2_d0.3_max_f15-10,128,2,0.3,max,0.5985937375877997,0.8671894712407021,0.49230769230769234,0.6336633663366337,0.5541125541125541,11
10,h64_L3_d0.3_max_f15-10-5,64,3,0.3,max,0.5971325096006433,0.8957216822599691,0.5238095238095238,0.6534653465346535,0.5814977973568282,3
